file_paths,labels
../data/raw/Indian/G\1028.jpg,G
../data/raw/Indian/4\552.jpg,4
../data/raw/Indian/Q\550.jpg,Q
../data/raw/Indian/W\1149.jpg,W
../data/raw/Indian/V\412.jpg,V
../data/raw/Indian/P\803.jpg,P
../data/raw/Indian/7\880.jpg,7
../data/raw/Indian/F\908.jpg,F
../data/raw/Indian/Y\773.jpg,Y
../data/raw/Indian/K\132.jpg,K
../data/raw/Indian/N\215.jpg,N
../data/raw/Indian/X\370.jpg,X
../data/raw/Indian/1\420.jpg,1
../data/raw/Indian/I\160 copy.jpg,I
../data/raw/Indian/H\897.jpg,H
../data/raw/Indian/T\1002.jpg,T
../data/raw/Indian/T\337.jpg,T
../data/raw/Indian/3\1153.jpg,3
../data/raw/Indian/T\652.jpg,T
../data/raw/Indian/I\1048.jpg,I
../data/raw/Indian/O\918.jpg,O
../data/raw/Indian/5\729.jpg,5
../data/raw/Indian/B\375.jpg,B
../data/raw/Indian/9\1025.jpg,9
../data/raw/Indian/U\1129.jpg,U
../data/raw/Indian/F\901.jpg,F
../data/raw/Indian/P\666.jpg,P
../data/raw/Indian/K\586.jpg,K
../data/raw/Indian/5\261.jpg,5
../data/raw/Indian/Z\94.jpg,Z
../data/raw/Indian/R\1162.jpg,R
../data/raw/Indian/U\538.jpg,U
../data/raw/Indian/G\914.jpg,G
../data/raw/Indian/M\930.jpg,M
../data/raw/Indian/J\570.jpg,J
../data/raw/Indian/Y\1167.jpg,Y
../data/raw/Indian/P\340.jpg,P
../data/raw/Indian/9\523.jpg,9
../data/raw/Indian/Y\764.jpg,Y
../data/raw/Indian/3\1003.jpg,3
../data/raw/Indian/L\301.jpg,L
../data/raw/Indian/Q\1103.jpg,Q
../data/raw/Indian/4\846.jpg,4
../data/raw/Indian/N\162.jpg,N
../data/raw/Indian/J\836.jpg,J
../data/raw/Indian/5\681.jpg,5
../data/raw/Indian/E\1024.jpg,E
../data/raw/Indian/Y\297.jpg,Y
../data/raw/Indian/1\974.jpg,1
../data/raw/Indian/4\816.jpg,4
../data/raw/Indian/3\624.jpg,3
../data/raw/Indian/O\1040.jpg,O
../data/raw/Indian/3\525.jpg,3
../data/raw/Indian/1\686.jpg,1
../data/raw/Indian/6\726.jpg,6
../data/raw/Indian/G\773.jpg,G
../data/raw/Indian/Z\906.jpg,Z
../data/raw/Indian/V\537.jpg,V
../data/raw/Indian/R\505.jpg,R
../data/raw/Indian/U\402.jpg,U
../data/raw/Indian/O\56.jpg,O
../data/raw/Indian/E\1137.jpg,E
../data/raw/Indian/W\448.jpg,W
../data/raw/Indian/3\260.jpg,3
../data/raw/Indian/A\932.jpg,A
../data/raw/Indian/J\804.jpg,J
../data/raw/Indian/5\984.jpg,5
../data/raw/Indian/D\1061.jpg,D
../data/raw/Indian/4\249.jpg,4
../data/raw/Indian/1\187.jpg,1
../data/raw/Indian/4\693.jpg,4
../data/raw/Indian/O\356.jpg,O
../data/raw/Indian/O\962.jpg,O
../data/raw/Indian/N\30.jpg,N
../data/raw/Indian/2\1191.jpg,2
../data/raw/Indian/7\1082.jpg,7
../data/raw/Indian/E\862.jpg,E
../data/raw/Indian/Z\1046.jpg,Z
../data/raw/Indian/O\336.jpg,O
../data/raw/Indian/5\82.jpg,5
../data/raw/Indian/3\1098.jpg,3
../data/raw/Indian/F\1165.jpg,F
../data/raw/Indian/X\890.jpg,X
../data/raw/Indian/C\241 copy.jpg,C
../data/raw/Indian/C\819.jpg,C
../data/raw/Indian/O\129 copy.jpg,O
../data/raw/Indian/U\1115.jpg,U
../data/raw/Indian/G\605.jpg,G
../data/raw/Indian/I\459.jpg,I
../data/raw/Indian/W\396.jpg,W
../data/raw/Indian/D\278.jpg,D
../data/raw/Indian/C\158 copy.jpg,C
../data/raw/Indian/J\171.jpg,J
../data/raw/Indian/M\873.jpg,M
../data/raw/Indian/Y\887.jpg,Y
../data/raw/Indian/R\185.jpg,R
../data/raw/Indian/4\1028.jpg,4
../data/raw/Indian/S\75.jpg,S
../data/raw/Indian/A\952.jpg,A
../data/raw/Indian/M\917.jpg,M
../data/raw/Indian/P\356.jpg,P
../data/raw/Indian/J\957.jpg,J
../data/raw/Indian/N\20.jpg,N
../data/raw/Indian/N\526.jpg,N
../data/raw/Indian/R\907.jpg,R
../data/raw/Indian/C\1140.jpg,C
../data/raw/Indian/K\1173.jpg,K
../data/raw/Indian/N\689.jpg,N
../data/raw/Indian/D\1057.jpg,D
../data/raw/Indian/5\141.jpg,5
../data/raw/Indian/K\809.jpg,K
../data/raw/Indian/Y\249.jpg,Y
../data/raw/Indian/X\1011.jpg,X
../data/raw/Indian/4\695.jpg,4
../data/raw/Indian/I\548.jpg,I
../data/raw/Indian/7\892.jpg,7
../data/raw/Indian/I\961.jpg,I
../data/raw/Indian/3\815.jpg,3
../data/raw/Indian/B\264.jpg,B
../data/raw/Indian/O\685.jpg,O
../data/raw/Indian/P\247.jpg,P
../data/raw/Indian/T\207.jpg,T
../data/raw/Indian/G\201.jpg,G
../data/raw/Indian/8\851.jpg,8
../data/raw/Indian/Q\439.jpg,Q
../data/raw/Indian/Q\1043.jpg,Q
../data/raw/Indian/1\855.jpg,1
../data/raw/Indian/2\635.jpg,2
../data/raw/Indian/3\1051.jpg,3
../data/raw/Indian/B\405.jpg,B
../data/raw/Indian/7\7.jpg,7
../data/raw/Indian/B\412.jpg,B
../data/raw/Indian/1\345.jpg,1
../data/raw/Indian/Y\1194.jpg,Y
../data/raw/Indian/E\764.jpg,E
../data/raw/Indian/C\564.jpg,C
../data/raw/Indian/8\186.jpg,8
../data/raw/Indian/T\158.jpg,T
../data/raw/Indian/I\411.jpg,I
../data/raw/Indian/R\334.jpg,R
../data/raw/Indian/2\292.jpg,2
../data/raw/Indian/V\126.jpg,V
../data/raw/Indian/E\664.jpg,E
../data/raw/Indian/6\1075.jpg,6
../data/raw/Indian/M\1105.jpg,M
../data/raw/Indian/A\689.jpg,A
../data/raw/Indian/4\660.jpg,4
../data/raw/Indian/N\159.jpg,N
../data/raw/Indian/7\757.jpg,7
../data/raw/Indian/R\23.jpg,R
../data/raw/Indian/A\804.jpg,A
../data/raw/Indian/I\540.jpg,I
../data/raw/Indian/1\294.jpg,1
../data/raw/Indian/U\992.jpg,U
../data/raw/Indian/T\861.jpg,T
../data/raw/Indian/D\1126.jpg,D
../data/raw/Indian/L\407.jpg,L
../data/raw/Indian/U\779.jpg,U
../data/raw/Indian/T\241.jpg,T
../data/raw/Indian/P\82.jpg,P
../data/raw/Indian/4\203.jpg,4
../data/raw/Indian/I\790.jpg,I
../data/raw/Indian/X\1101.jpg,X
../data/raw/Indian/W\256.jpg,W
../data/raw/Indian/H\445.jpg,H
../data/raw/Indian/I\023.jpg,I
../data/raw/Indian/7\1140.jpg,7
../data/raw/Indian/P\544.jpg,P
../data/raw/Indian/N\1114.jpg,N
../data/raw/Indian/X\699.jpg,X
../data/raw/Indian/X\924.jpg,X
../data/raw/Indian/2\673.jpg,2
../data/raw/Indian/1\197.jpg,1
../data/raw/Indian/M\319.jpg,M
../data/raw/Indian/D\287.jpg,D
../data/raw/Indian/D\734.jpg,D
../data/raw/Indian/X\566.jpg,X
../data/raw/Indian/U\130.jpg,U
../data/raw/Indian/F\880.jpg,F
../data/raw/Indian/F\782.jpg,F
../data/raw/Indian/9\873.jpg,9
../data/raw/Indian/O\536.jpg,O
../data/raw/Indian/X\363.jpg,X
../data/raw/Indian/T\395.jpg,T
../data/raw/Indian/V\852.jpg,V
../data/raw/Indian/M\1170.jpg,M
../data/raw/Indian/T\163.jpg,T
../data/raw/Indian/F\551.jpg,F
../data/raw/Indian/Y\612.jpg,Y
../data/raw/Indian/8\737.jpg,8
../data/raw/Indian/S\173.jpg,S
../data/raw/Indian/P\929.jpg,P
../data/raw/Indian/H\986.jpg,H
../data/raw/Indian/1\128.jpg,1
../data/raw/Indian/G\240.jpg,G
../data/raw/Indian/A\363.jpg,A
../data/raw/Indian/R\307.jpg,R
../data/raw/Indian/B\953.jpg,B
../data/raw/Indian/U\1053.jpg,U
../data/raw/Indian/N\470.jpg,N
../data/raw/Indian/Q\410.jpg,Q
../data/raw/Indian/4\765.jpg,4
../data/raw/Indian/4\416.jpg,4
../data/raw/Indian/Q\106.jpg,Q
../data/raw/Indian/8\802.jpg,8
../data/raw/Indian/R\1116.jpg,R
../data/raw/Indian/1\818.jpg,1
../data/raw/Indian/W\852.jpg,W
../data/raw/Indian/V\1135.jpg,V
../data/raw/Indian/B\1124.jpg,B
../data/raw/Indian/I\159.jpg,I
../data/raw/Indian/I\403.jpg,I
../data/raw/Indian/2\653.jpg,2
../data/raw/Indian/2\220.jpg,2
../data/raw/Indian/9\154.jpg,9
../data/raw/Indian/2\51.jpg,2
../data/raw/Indian/W\384.jpg,W
../data/raw/Indian/4\168.jpg,4
../data/raw/Indian/N\282.jpg,N
../data/raw/Indian/1\767.jpg,1
../data/raw/Indian/A\100.jpg,A
../data/raw/Indian/M\556.jpg,M
../data/raw/Indian/E\1081.jpg,E
../data/raw/Indian/P\1115.jpg,P
../data/raw/Indian/V\612.jpg,V
../data/raw/Indian/Z\255.jpg,Z
../data/raw/Indian/7\1038.jpg,7
../data/raw/Indian/C\094.jpg,C
../data/raw/Indian/L\200.jpg,L
../data/raw/Indian/E\3.jpg,E
../data/raw/Indian/W\1160.jpg,W
../data/raw/Indian/E\738.jpg,E
../data/raw/Indian/O\1115.jpg,O
../data/raw/Indian/9\293.jpg,9
../data/raw/Indian/Z\836.jpg,Z
../data/raw/Indian/J\102.jpg,J
../data/raw/Indian/P\158.jpg,P
../data/raw/Indian/U\124.jpg,U
../data/raw/Indian/9\8.jpg,9
../data/raw/Indian/7\127.jpg,7
../data/raw/Indian/G\229.jpg,G
../data/raw/Indian/4\309.jpg,4
../data/raw/Indian/3\575.jpg,3
../data/raw/Indian/P\1006.jpg,P
../data/raw/Indian/3\395.jpg,3
../data/raw/Indian/M\749.jpg,M
../data/raw/Indian/U\494.jpg,U
../data/raw/Indian/N\613.jpg,N
../data/raw/Indian/9\176.jpg,9
../data/raw/Indian/H\357.jpg,H
../data/raw/Indian/7\370.jpg,7
../data/raw/Indian/N\1161.jpg,N
../data/raw/Indian/V\1187.jpg,V
../data/raw/Indian/F\295.jpg,F
../data/raw/Indian/6\1000.jpg,6
../data/raw/Indian/C\487.jpg,C
../data/raw/Indian/V\701.jpg,V
../data/raw/Indian/Q\629.jpg,Q
../data/raw/Indian/J\639.jpg,J
../data/raw/Indian/I\676.jpg,I
../data/raw/Indian/1\703.jpg,1
../data/raw/Indian/9\1169.jpg,9
../data/raw/Indian/L\836.jpg,L
../data/raw/Indian/B\128.jpg,B
../data/raw/Indian/C\484.jpg,C
../data/raw/Indian/W\1134.jpg,W
../data/raw/Indian/6\90.jpg,6
../data/raw/Indian/C\65.jpg,C
../data/raw/Indian/L\57.jpg,L
../data/raw/Indian/T\141.jpg,T
../data/raw/Indian/D\1188.jpg,D
../data/raw/Indian/B\944.jpg,B
../data/raw/Indian/K\406.jpg,K
../data/raw/Indian/P\473.jpg,P
../data/raw/Indian/Z\250.jpg,Z
../data/raw/Indian/H\859.jpg,H
../data/raw/Indian/W\948.jpg,W
../data/raw/Indian/J\1060.jpg,J
../data/raw/Indian/2\119.jpg,2
../data/raw/Indian/J\1041.jpg,J
../data/raw/Indian/X\716.jpg,X
../data/raw/Indian/P\508.jpg,P
../data/raw/Indian/7\357.jpg,7
../data/raw/Indian/T\707.jpg,T
../data/raw/Indian/F\1179.jpg,F
../data/raw/Indian/L\312.jpg,L
../data/raw/Indian/Y\172.jpg,Y
../data/raw/Indian/V\154.jpg,V
../data/raw/Indian/X\1007.jpg,X
../data/raw/Indian/T\819.jpg,T
../data/raw/Indian/3\521.jpg,3
../data/raw/Indian/R\245.jpg,R
../data/raw/Indian/7\1144.jpg,7
../data/raw/Indian/N\315.jpg,N
../data/raw/Indian/H\1035.jpg,H
../data/raw/Indian/V\1042.jpg,V
../data/raw/Indian/S\8.jpg,S
../data/raw/Indian/O\561.jpg,O
../data/raw/Indian/T\828.jpg,T
../data/raw/Indian/I\270.jpg,I
../data/raw/Indian/F\153.jpg,F
../data/raw/Indian/V\1155.jpg,V
../data/raw/Indian/V\416.jpg,V
../data/raw/Indian/N\673.jpg,N
../data/raw/Indian/O\168 copy.jpg,O
../data/raw/Indian/F\389.jpg,F
../data/raw/Indian/T\256.jpg,T
../data/raw/Indian/8\161.jpg,8
../data/raw/Indian/O\196.jpg,O
../data/raw/Indian/R\829.jpg,R
../data/raw/Indian/H\845.jpg,H
../data/raw/Indian/7\423.jpg,7
../data/raw/Indian/2\410.jpg,2
../data/raw/Indian/W\54.jpg,W
../data/raw/Indian/J\772.jpg,J
../data/raw/Indian/H\573.jpg,H
../data/raw/Indian/S\658.jpg,S
../data/raw/Indian/6\1014.jpg,6
../data/raw/Indian/X\462.jpg,X
../data/raw/Indian/7\608.jpg,7
../data/raw/Indian/H\280.jpg,H
../data/raw/Indian/2\7.jpg,2
../data/raw/Indian/X\1110.jpg,X
../data/raw/Indian/T\636.jpg,T
../data/raw/Indian/J\1069.jpg,J
../data/raw/Indian/M\739.jpg,M
../data/raw/Indian/K\716.jpg,K
../data/raw/Indian/V\948.jpg,V
../data/raw/Indian/7\949.jpg,7
../data/raw/Indian/Q\1168.jpg,Q
../data/raw/Indian/I\122 copy.jpg,I
../data/raw/Indian/V\752.jpg,V
../data/raw/Indian/Z\311.jpg,Z
../data/raw/Indian/M\154.jpg,M
../data/raw/Indian/H\511.jpg,H
../data/raw/Indian/E\284.jpg,E
../data/raw/Indian/L\419.jpg,L
../data/raw/Indian/7\704.jpg,7
../data/raw/Indian/F\36.jpg,F
../data/raw/Indian/5\1068.jpg,5
../data/raw/Indian/P\764.jpg,P
../data/raw/Indian/E\935.jpg,E
../data/raw/Indian/C\815.jpg,C
../data/raw/Indian/2\279.jpg,2
../data/raw/Indian/J\587.jpg,J
../data/raw/Indian/U\746.jpg,U
../data/raw/Indian/L\101.jpg,L
../data/raw/Indian/Y\1173.jpg,Y
